country_code,CPV,total_value_sme,n_contracts_sme,n_contractors_sme,total_value_large,n_contracts_large,n_contractors_large
AT,03330000,497822.93999999994,26,26,523369.4700000001,25,25
AT,03452000,224316.0,6,6,771564.7,6,6
AT,09123000,999999999.0,1,1,3406023.0999999996,3,3
AT,09134220,69294280.0,63,63,22266979.0,10,11
AT,09300000,1270272.3599999999,2,2,10472804.0,1,1
AT,09310000,1000002890805.01,3,3,14568271.99,20,29
AT,14400000,86250.0,1,1,2312050.0,8,8
AT,14622000,3754258.01,4,4,286033.74,2,2
AT,15000000,3091330.0,90,90,1403689.91,53,53
AT,15110000,196990.13999999998,15,15,352351.2800000001,42,42
AT,15810000,1536444.57,51,51,18904.78,10,10
AT,15860000,523599.9199999999,31,31,263741.04000000004,2,2
AT,15890000,131318.5,3,3,8124.9,1,1
AT,16700000,1936993.44,7,7,252006.0,1,1
AT,18100000,774952.55,5,6,2931839.2,2,2
AT,18424000,2908700.0,4,4,1550324.5,2,2
AT,18424300,1155200000.0,8,10,1299600000.0,9,9
AT,19640000,550190.9,12,12,1057000.0,1,1
AT,22200000,51897.0,1,1,70645271.56,9,9
AT,30000000,120377420.0,5,5,77515682.83999999,15,15
AT,30125100,175455.6,4,4,17768.56,1,1
AT,30197642,2501511.74,10,10,4974176.85,16,16
AT,30200000,1297950.49,5,5,8296756.04,3,3
AT,30231300,400574.0,1,1,1788848.0,1,7
AT,31000000,401715.89,2,2,1.0,1,1
AT,31100000,2205520.0,7,8,6223891.83,3,5
AT,31110000,9239753.04,5,5,1991115.0,1,1
AT,31162000,0.0,0,1,0.0,0,2
AT,31171000,0.0,0,2,0.0,0,1
AT,31213200,0.0,0,2,0.0,0,7
AT,31214110,0.0,0,1,0.0,0,1
AT,31500000,567126.22,7,7,631665.4,3,3
AT,31518600,2201500.0,2,2,76800.0,1,1
AT,31521000,159495.72,1,1,3753190.0,1,1
AT,32000000,490316.63,2,2,7431828.0,5,5
AT,32250000,48659.7,3,3,108812.26000000001,4,4
AT,32322000,1836917.0,1,1,992697.14,2,2
AT,32424000,3150340.25,1,1,0.0,0,1
AT,33000000,19269413.419999998,22,30,30462728.79,25,33
AT,33100000,57119972.07000001,52,56,32035331.62,49,53
AT,33110000,2161700.0,3,3,4618900.0,5,5
AT,33111000,1866200.0,2,2,7923067.0,12,12
AT,33111620,267690.0,1,1,4367134.5,2,2
AT,33111650,284952.96,1,1,1179011.0,2,2
AT,33111720,2823876.4,1,1,599000.0,1,1
AT,33112000,89363.23,1,1,345316.39999999997,3,3
AT,33112200,137256.28999999998,2,2,6379334.0,5,5
AT,33140000,2174256.8000000003,7,7,52873476.08,10,10
AT,33141210,432000.0,1,1,432000.0,1,1
AT,33150000,997000.0,2,2,7243601.4,1,1
AT,33157000,6224660.4,2,2,477806.8,1,1
AT,33162000,1707591.12,1,1,3880172.58,2,2
AT,33162100,831484.1,3,3,4104066.0,2,2
AT,33168000,3362652.3899999997,8,8,200000.0,1,1
AT,33184100,455200.0,1,1,642500.0,1,1
AT,33191000,1636451.96,8,8,397939.95,1,1
AT,33191110,27688.28,2,2,856351.5,1,1
AT,33192410,9468212.4,10,18,9339120.0,8,16
AT,33195000,342628.54,1,1,1272403.3399999999,2,2
AT,33195100,798762.0,1,1,127000.0,2,2
AT,33600000,19261817.89,15,22,93999537.36,6,13
AT,33651520,73517873.54,2,2,73517873.54,2,2
AT,33770000,653138.8200000001,40,40,25876.920000000002,3,3
AT,34000000,12168000.0,2,2,2761281.75,3,3
AT,34100000,2489076.6,3,12,280745979.9,18,34
AT,34121000,13139609.45,3,4,1340188.54,1,1
AT,34140000,480400000.0,5,5,2626280000.0,27,27
AT,34144000,74413500.0,17,17,13385000.0,2,2
AT,34144212,675719.72,2,2,1839161.0,4,4
AT,34144213,1586301.54,4,4,1505124.9000000001,4,4
AT,34144400,560014.9,1,1,240625.0,1,1
AT,34144511,745000.0,1,1,464000.0,1,1
AT,34630000,0.0,0,1,1031047.81,2,2
AT,34631400,1472725.0,1,3,6513010.0,4,5
AT,34632200,9318028.38,1,1,0.0,0,1
AT,34928480,372318.0,1,1,219036.0,1,1
AT,34941800,610278.27,2,2,703893.38,1,1
AT,34946200,1201580.7,1,2,1060312.03,2,2
AT,34947100,10888034.02,2,2,166260.0,1,1
AT,35000000,160074.0,1,1,6844490.98,6,6
AT,35111000,301495.0,1,1,117980.0,1,1
AT,37535200,166152.95,3,3,8369.96,1,1
AT,38300000,653770.0,1,1,195000.0,1,1
AT,38400000,1.0,1,1,242842.0,3,3
AT,38430000,552300.0,2,2,791578.22,1,1
AT,38432000,689450.0,1,1,121103.0,1,1
AT,38433100,1750000.0,1,1,3377467.33,8,8
AT,38434520,2728634.68,2,2,1065713.19,3,3
AT,38434560,121885.0,1,1,2558049.68,3,3
AT,38510000,534500.0,1,1,8975014.02,5,5
AT,38511100,833330.0,1,1,1310000.0,1,1
AT,38540000,240280.0,1,1,434984.62,1,1
AT,38580000,2949350.0,1,1,3017127.0,1,1
AT,39113000,188178.0,1,1,1060869.6,1,1
AT,39130000,9501261.08,4,4,331882.0,2,2
AT,39180000,6370793.75,2,2,4000000.0,1,1
AT,42000000,4856134.13,6,6,777754.0,2,2
AT,42410000,1300000.0,1,2,1300000.0,1,2
AT,42600000,8999999.969999999,4,4,16071428.520000001,7,7
AT,43220000,357255.0,1,1,346057.0,1,1
AT,43260000,466125.3,1,1,1041309.98,2,2
AT,43261100,577000.0,1,1,249000.0,1,1
AT,43800000,6541295.17,3,4,17000000.0,3,3
AT,44113310,1518410.2599999998,3,3,1186359.9100000001,2,2
AT,44113600,585043.0,2,2,328344.0,1,1
AT,44114000,220840.0,1,1,283000.0,1,1
AT,44114200,566740.0,1,2,0.0,0,1
AT,44164310,0.0,0,1,1462479.0,2,4
AT,44451000,473400.0,1,1,7138221.16,3,3
AT,44613700,25118603.14,17,17,1552426.0,4,4
AT,45000000,1136932439.4699998,142,158,2843145718.4399996,107,155
AT,45112700,2750456.66,8,8,2608214.63,3,3
AT,45200000,98396744.46999998,12,19,143627412.92000002,16,23
AT,45211100,21396772.44,6,6,29636533.59,3,3
AT,45211200,770344.98,1,1,4888211.16,1,1
AT,45211350,10000000158994.92,2,2,6782007.0,1,1
AT,45212000,7470853.359999999,3,4,1068019.1,1,1
AT,45212190,5452365.5,6,6,102864.14,2,2
AT,45212200,1565400.36,3,3,65899271.65,1,2
AT,45212212,21623754.64,12,12,1869984.37,1,1
AT,45212322,1279135.0,2,2,897494.46,1,1
AT,45214200,27830811.06,12,12,13824997.29,4,4
AT,45214210,1913862.41,4,4,2334675.52,3,3
AT,45214400,1371711.26,1,1,4850007.48,1,1
AT,45215130,20660215.21,2,3,22502632.669999998,3,4
AT,45221112,427909.21,1,1,588238.92,1,2
AT,45230000,900000.0,1,1,30887537.92,1,3
AT,45231110,0.0,0,1,0.0,0,1
AT,45232210,92438067.96,30,30,9793155.64,4,4
AT,45233110,84705624.78999999,2,2,356180709.14000005,18,22
AT,45233120,213562.52,1,1,771738.0,1,1
AT,45261000,8792042.2,7,7,3604449.76,3,3
AT,45261200,1391359.45,2,2,1803024.7,2,2
AT,45300000,28711077.03,43,43,22505076.72,8,9
AT,45310000,11221073.75,9,9,11906622.46,5,5
AT,45311000,127878678.85999994,62,63,21348482.85,13,13
AT,45311200,37045448.49999999,30,30,12405977.45,11,13
AT,45313000,466813.5,4,4,162610.0,3,3
AT,45313100,458638.38,5,5,1621433.7,11,11
AT,45314310,1717969.04,2,2,2297544.01,1,1
AT,45315100,19272876.7,10,10,21588083.95,3,3
AT,45324000,28156645.47,29,30,3987267.4699999997,4,4
AT,45331000,51804287.48,33,41,27316912.959999997,10,12
AT,45331100,11844444.34,1,5,0.0,0,1
AT,45331210,18515063.17,7,9,2254032.92,1,1
AT,45342000,7280470.0,1,1,34023927.230000004,4,5
AT,45410000,1056153.4,3,3,1802727.64,2,2
AT,45421000,22076384.67,36,36,529976.74,2,2
AT,45421132,199330.0,1,1,255608.74,1,1
AT,45421146,9276373.780000001,12,12,372658.69,1,1
AT,45422100,3851465.72,2,2,317147.98,1,1
AT,45430000,3641545.6,4,4,999782.65,2,2
AT,45431000,5429950.32,17,17,736201.2,2,2
AT,45432110,2273554.53,8,8,336721.37,2,2
AT,45442100,15074900.370000001,33,35,518573.76,1,1
AT,45443000,24101737.12,9,9,3350250.8600000003,3,3
AT,45453100,597347.0,1,1,1443313.5699999998,2,3
AT,48000000,151042052.97,36,36,197612708.90999997,26,27
AT,48140000,2161989.12,1,2,2161989.12,1,2
AT,48300000,387889.75,2,2,2644058.0,1,1
AT,48600000,176960.0,1,1,737565.63,2,2
AT,48820000,833300.0,1,1,191963.0,1,1
AT,50000000,7376489.35,6,7,23776429.09,14,15
AT,50220000,9806426.0,3,4,3459209.59,2,2
AT,50531200,0.0,0,1,533558.0,1,1
AT,55300000,20075000.0,2,2,1340000.0,1,1
AT,55500000,0.0,0,1,0.0,0,1
AT,55521200,566774.81,2,3,34628716.2,2,2
AT,55523000,5521200.0,4,4,11297520.0,7,7
AT,60000000,165734184.6,41,44,133217582.82000001,21,29
AT,60130000,22639274.38,3,3,102163009.33,6,6
AT,60161000,2300000.0,1,1,700000.0,1,1
AT,64100000,743745.0,1,1,1381882.2,1,1
AT,66000000,236165500.0,3,4,7199239.72,4,5
AT,66110000,136281250.0,1,1,1.0,1,1
AT,71000000,166269291.02,147,227,977560759.8900001,68,79
AT,71200000,120011702.02,12,22,5337000.0,2,6
AT,71240000,34455541.04999999,44,53,17133893.27,8,13
AT,71300000,13978902.309999999,39,46,3315057.8,41,42
AT,71315410,307805.80000000005,2,2,246655.22999999998,2,2
AT,71319000,19101209.0,5,16,1379937.0,1,1
AT,71320000,5050192.98,14,20,1740070.92,3,5
AT,71321000,1195178.99,5,5,341687.8,1,1
AT,71322500,3288636.62,2,4,249850.0,1,2
AT,71326000,0.0,0,4,0.0,0,1
AT,71334000,1259464.0,2,3,1829908.64,4,4
AT,71356400,22097410.9,7,7,3001577.0,2,2
AT,71500000,12574437.370000001,13,13,568560.0,2,2
AT,71520000,74894935.12,54,71,20644181.79,17,20
AT,71530000,20586080.16,20,23,6558050.02,2,2
AT,71620000,0.0,0,2,530751.36,1,2
AT,71731000,1040000.0,1,2,1040000.0,1,2
AT,72000000,549156108.59,158,167,231224955.86999997,80,82
AT,72200000,27532578.5,16,19,14702820.5,12,14
AT,72210000,3095291.56,3,3,9000000.0,1,1
AT,72222300,1389025.0,3,4,822500.0,2,3
AT,72230000,32900088.0,6,6,17115600.0,2,2
AT,72260000,28717449.279999997,19,19,9897020.68,4,5
AT,72262000,250000.0,1,1,0.0,0,1
AT,72263000,1209661.97,1,2,507223.0,1,1
AT,72267000,1600000.0,2,2,58671309.68999999,13,13
AT,72410000,0.0,0,2,0.0,0,1
AT,72411000,229570.0,1,1,252112.7,1,1
AT,73100000,1559.51,3,5,1437.08,3,4
AT,75131100,150000.0,1,1,5000000.0,1,1
AT,77000000,7788057.930000001,4,7,200000.0,1,1
AT,77211500,4020439.4,7,7,1030284.4299999999,6,6
AT,79000000,46674489.0,21,36,25883236.52,30,35
AT,79100000,7422214.0,17,17,400000.0,2,2
AT,79200000,543360.0,2,2,5367202.5,3,3
AT,79210000,0.0,0,1,6437000.0,3,3
AT,79300000,2385862.9,7,9,2119181.5,3,4
AT,79310000,939850.0,1,1,1909980.0,1,1
AT,79315000,1450000.0,3,3,11595425.0,21,34
AT,79340000,111083409.03999999,51,61,19531049.08,28,28
AT,79410000,5240320.0,4,4,8000000.0,2,2
AT,79411000,292500.0,2,5,450000.0,3,8
AT,79419000,384928.0,1,1,384928.0,1,1
AT,79512000,6755333.08,3,3,246759.0,1,1
AT,79600000,9123550.0,5,6,837000.0,2,2
AT,79610000,1376000.0,3,3,6630000.0,1,1
AT,79620000,1292144451.74,88,115,1297351758.01,51,78
AT,79710000,11455165.66,13,14,5875509.0,8,8
AT,79800000,6117277.85,33,38,549184.14,1,1
AT,79820000,1313008.0,1,1,48883.0,1,1
AT,79822500,738181.28,3,3,250000.0,1,1
AT,79823000,46350.0,1,1,1500000.0,1,1
AT,79900000,800000.0,1,1,365960.26,1,1
AT,79952000,5589482.85,10,13,2091600.0,2,2
AT,79970000,8407172.0,3,3,709634.0,1,1
AT,80400000,79373170.57,50,66,95248639.87,96,107
AT,80500000,1573861.6800000002,3,3,1769289.31,2,2
AT,80530000,19632414.03,6,13,250013660.22000003,14,14
AT,80570000,16811861.36,10,14,6911340.52,10,10
AT,80580000,894228.61,2,2,1511628.06,3,3
AT,85000000,65728644.5,14,47,92588588.38,20,59
AT,85100000,1300000.0,2,2,5148000.0,1,1
AT,85121200,4202400.0,1,1,1209000.0,1,1
AT,85145000,3542300.0,1,1,3712802.15,2,2
AT,85312500,4775000.0,3,3,2495000.0,1,1
AT,90000000,11414494.58,14,16,1744588.85,3,3
AT,90500000,104608.0,1,1,2267742.3,3,3
AT,90600000,96157.7,6,6,189635.37999999998,11,11
AT,90620000,7449040.44,43,43,1722222.2899999998,11,11
AT,90700000,2119026.8,6,10,1385110.0,3,5
AT,90900000,2396732.75,2,2,9961279.36,3,3
AT,90910000,25095867.18,12,17,8284910.81,6,6
AT,90911200,2641989.54,6,6,5937801.3,7,7
AT,90911300,813933.1799999999,19,19,128876.13,3,3
AT,90917000,0.0,0,1,0.0,0,1
AT,98393000,245491.0,31,31,19275.0,3,3
BE,03451000,182196.0,2,2,264462.8,3,3
BE,09000000,680159.9199999999,2,2,251318848.01,14,16
BE,09134000,3128200.0,4,4,2882286.76,14,14
BE,15000000,1948544.49,3,4,51774747.34,29,32
BE,15100000,428000.0,1,1,2621004.7,5,5
BE,15110000,432929.3,2,2,620631.0,1,1
BE,15700000,280991.74,1,1,523140.51,2,2
BE,15860000,4000000.0,2,2,2500000.0,1,1
BE,15894200,418906.0,1,1,2130143.99,1,1
BE,15894300,256170.0,2,2,58339.36,1,1
BE,15900000,2009009.35,2,2,222272.0,2,2
BE,18100000,6750330.48,21,21,1689639.4,25,25
BE,18110000,664898.0,1,1,9214003.42,8,8
BE,18141000,750268.0,2,2,20064.0,1,1
BE,18143000,492791.96,9,12,0.0,0,2
BE,18424300,31050.0,1,1,482653.97,3,3
BE,19640000,6858548.859999999,6,6,3488658.8,9,9
BE,22000000,4449411.26,7,7,1647814.6,5,5
BE,22110000,45601.0,2,2,377760.0,4,4
BE,22111000,65416280.8,13,14,11450976.48,5,5
BE,24000000,208868.1,2,2,31158772.4,20,45
BE,30200000,1688830.4200000002,8,8,150891744.0,18,18
BE,30213100,586011.41,2,2,275000000.0,6,6
BE,30230000,7396244.55,5,7,23544787.25,32,49
BE,31000000,45291850.239999995,6,6,13681293.58,10,11
BE,31141000,0.02,2,2,186720.0,1,1
BE,31527200,231921.72999999998,5,5,92329.41,1,1
BE,31600000,732957.5,1,1,2055000.0,4,4
BE,32000000,532835.5700000001,2,2,225678.0,1,1
BE,32321200,330578.52,4,10,12466185.02,12,20
BE,32322000,413343.08,2,2,262277.51,3,5
BE,32562000,592000.0,1,1,3309400.0,4,9
BE,33000000,5982962.93,4,5,5923118.6,36,36
BE,33100000,3255466.0,2,2,33736072.010000005,26,26
BE,33110000,259000.0,1,1,5554322.95,7,7
BE,33111000,670500.0,2,2,4260142.93,3,3
BE,33112200,129403.35,1,1,781670.0,4,4
BE,33141110,99937.96,6,6,2344926.1500000004,39,39
BE,33141520,1614238.53,1,1,230000.48,2,2
BE,33162000,830000.0,1,1,565889.0900000001,2,2
BE,33169100,45498.0,1,1,474764.36,2,2
BE,33195000,1449264.21,2,2,1500000.0,1,1
BE,33199000,240820.36,3,3,3252437.74,20,20
BE,33690000,528416.8400000001,5,5,22535035.75,42,42
BE,33692400,4451325.05,17,17,387254.5,5,5
BE,33696000,2732517.82,8,8,2490711.4499999997,7,7
BE,33696500,2200615.0,3,3,10464468.780000001,11,11
BE,33760000,0.0,0,1,1142711.4,1,2
BE,34000000,827892.6,8,8,28220630.0,7,38
BE,34100000,323853.72,4,4,81641307.17,29,32
BE,34110000,5584945.57,3,3,13536354.419999998,13,25
BE,34114100,6666685.8,2,2,733509.4,2,2
BE,34130000,17654078.47,11,13,358480.17,2,4
BE,34139000,1394160.0,1,1,1508414.0,2,2
BE,34140000,2192841.38,1,1,607740.0,1,1
BE,34144430,279000.0,1,1,233670.75,1,1
BE,34220000,860000.0,2,2,430000.0,1,1
BE,34430000,2696820.0,3,3,11316785.479999999,6,6
